Model,Team,Condition,Harm,Metric,trials,mean,sd,se,ci,Format,Cases,Grading,Type,Model1,Model2,Model3,Provider,Label,Exclude
Llama 4 Scout + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.62,0.004,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,GPT-5 mini,NA,Meta + OpenAI,NA,NA
Llama 4 Scout + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.516,0.001,0.001,0.001,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.0 Flash,NA,Meta + Google,NA,NA
Llama 4 Scout + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,10,0.601,0.018,0.006,0.011,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,NA,Meta + Google,NA,NA
Llama 4 Scout + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,8,0.491,0.004,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,NA,Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,8,0.482,0.006,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,NA,Meta + Meta,NA,NA
Llama 4 Scout + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.56,0.006,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,o3 mini,NA,Meta + OpenAI,NA,NA
o3 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,F1,4,0.635,0.011,0.005,0.01,NO,AllCases,Unanimous,AllHarm,o3 mini,Claude 3.7 Sonnet,NA,OpenAI + Anthropic,NA,NA
o3 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.632,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,o3 mini,DeepSeek R1,NA,OpenAI + DeepSeek,NA,NA
o3 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.444,0.027,0.015,0.03,NO,AllCases,Unanimous,AllHarm,o3 mini,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
o3 mini + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,3,0.67,0.004,0.002,0.004,NO,AllCases,Unanimous,AllHarm,o3 mini,GPT-5,NA,OpenAI + OpenAI,NA,NA
o3 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.651,0.005,0.003,0.006,NO,AllCases,Unanimous,AllHarm,o3 mini,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
o3 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.614,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,o3 mini,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
o3 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,3,0.645,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,o3 mini,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
o3 mini + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,3,0.573,0.016,0.009,0.019,NO,AllCases,Unanimous,AllHarm,o3 mini,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
o3 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,3,0.558,0.011,0.006,0.013,NO,AllCases,Unanimous,AllHarm,o3 mini,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
o3 mini + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.558,0.023,0.013,0.026,NO,AllCases,Unanimous,AllHarm,o3 mini,o3 mini,NA,OpenAI + OpenAI,NA,NA
DeepSeek R1 + DeepSeek R1 + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.615,0.007,0.003,0.005,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,DeepSeek R1,DeepSeek + DeepSeek + DeepSeek,NA,NA
DeepSeek R1 + DeepSeek R1 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.653,0.007,0.003,0.006,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,GPT-5,DeepSeek + DeepSeek + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,9,0.605,0.011,0.004,0.007,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,Claude 3.7 Sonnet,DeepSeek + Google + Anthropic,NA,NA
DeepSeek R1 + Gemini 2.0 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.628,0.006,0.002,0.005,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,Gemini 2.5 Pro,DeepSeek + Google + Google,NA,NA
DeepSeek R1 + Gemini 2.0 Flash + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.629,0.005,0.002,0.003,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,LiSA 1.0,DeepSeek + Google + AMBOSS,NA,NA
DeepSeek R1 + Gemini 2.5 Flash + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,4,0.662,0.005,0.003,0.005,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,GPT-5,DeepSeek + Google + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.621,0.005,0.002,0.004,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,Gemini 2.5 Pro,DeepSeek + Google + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.661,0.006,0.003,0.006,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Pro,GPT-5,DeepSeek + Google + OpenAI,NA,NA
GPT-5 + GPT-5 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.675,0.009,0.004,0.007,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5,GPT-5,OpenAI + OpenAI + OpenAI,NA,NA
Gemini 2.0 Flash + Claude 3.7 Sonnet + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,4,0.606,0.013,0.007,0.013,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Claude 3.7 Sonnet,Gemini 2.5 Pro,Google + Anthropic + Google,NA,NA
Gemini 2.0 Flash + Claude 3.7 Sonnet + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.623,0.004,0.001,0.002,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Claude 3.7 Sonnet,LiSA 1.0,Google + Anthropic + AMBOSS,NA,NA
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.66,0.007,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.588,0.004,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Flash,Gemini 2.5 Flash,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.607,0.008,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Flash,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.612,0.007,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,DeepSeek R1,Google + Google + DeepSeek,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.652,0.007,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.613,0.011,0.004,0.009,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,3,0.612,0.005,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,DeepSeek R1,Google + Meta + DeepSeek,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.662,0.003,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,GPT-5,Google + Meta + OpenAI,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.612,0.011,0.005,0.009,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,Gemini 2.5 Pro,Google + Meta + Google,NA,NA
Gemini 2.5 Pro + GPT-5 mini + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.661,0.009,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-5 mini,GPT-5,Google + OpenAI + OpenAI,NA,NA
Gemini 2.5 Pro + GPT-5 mini + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.656,0.006,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-5 mini,LiSA 1.0,Google + OpenAI + AMBOSS,NA,NA
Gemini 2.5 Pro + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.662,0.011,0.004,0.009,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Pro + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,6,0.624,0.015,0.006,0.012,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Llama 4 Maverick + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,4,0.663,0.009,0.004,0.009,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Gemini 2.5 Pro,GPT-5,Meta + Google + OpenAI,NA,NA
Llama 4 Maverick + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.546,0.004,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Llama 4 Maverick,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.612,0.015,0.005,0.009,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,DeepSeek R1,Meta + Google + DeepSeek,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.664,0.008,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,GPT-5,Meta + Google + OpenAI,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.616,0.011,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,Gemini 2.5 Pro,Meta + Google + Google,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,10,0.64,0.01,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,LiSA 1.0,Meta + Google + AMBOSS,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,4,0.612,0.012,0.006,0.012,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,Llama 4 Maverick,Meta + Google + Meta,NA,NA
Llama 4 Scout + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.663,0.009,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,GPT-5,Meta + Meta + OpenAI,NA,NA
Llama 4 Scout + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.623,0.006,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Gemini 2.5 Pro,Meta + Meta + Google,NA,NA
Llama 4 Scout + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.49,0.006,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Maverick + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.49,0.006,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Llama 4 Scout,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Scout + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.584,0.006,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,DeepSeek R1,Meta + Meta + DeepSeek,NA,NA
Llama 4 Scout + Llama 4 Scout + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.665,0.009,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,GPT-5,Meta + Meta + OpenAI,NA,NA
Llama 4 Scout + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,3,0.614,0.008,0.004,0.009,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Gemini 2.5 Pro,Meta + Meta + Google,NA,NA
Llama 4 Scout + Llama 4 Scout + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,5,0.484,0.006,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Scout + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,All,F1,4,0.482,0.008,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Llama 4 Scout,Meta + Meta + Meta,NA,NA
Claude 3.7 Sonnet,Solo Models,Advisor,All,F1,10,0.614,0.007,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,NA,NA,Anthropic,NA,NA
Claude Haiku 4.5,Solo Models,Advisor,All,F1,20,0.562,0.009,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Claude Haiku 4.5,NA,NA,Anthropic,NA,NA
Claude Sonnet 4.5,Solo Models,Advisor,All,F1,20,0.642,0.007,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,NA,NA,Anthropic,NA,NA
DeepSeek R1,Solo Models,Advisor,All,F1,20,0.601,0.011,0.003,0.005,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,NA,NA,DeepSeek,NA,NA
DeepSeek V3.1,Solo Models,Advisor,All,F1,15,0.564,0.008,0.002,0.004,NO,AllCases,Unanimous,AllHarm,DeepSeek V3.1,NA,NA,DeepSeek,NA,NA
GPT-4.1,Solo Models,Advisor,All,F1,20,0.564,0.006,0.001,0.003,NO,AllCases,Unanimous,AllHarm,GPT-4.1,NA,NA,OpenAI,NA,NA
GPT-4.1 mini,Solo Models,Advisor,All,F1,20,0.54,0.006,0.001,0.003,NO,AllCases,Unanimous,AllHarm,GPT-4.1 mini,NA,NA,OpenAI,NA,NA
GPT-4o,Solo Models,Advisor,All,F1,20,0.544,0.01,0.002,0.004,NO,AllCases,Unanimous,AllHarm,GPT-4o,NA,NA,OpenAI,NA,NA
GPT-4o mini,Solo Models,Advisor,All,F1,10,0.506,0.011,0.003,0.007,NO,AllCases,Unanimous,AllHarm,GPT-4o mini,NA,NA,OpenAI,NA,NA
GPT-5,Solo Models,Advisor,All,F1,20,0.669,0.01,0.002,0.004,NO,AllCases,Unanimous,AllHarm,GPT-5,NA,NA,OpenAI,NA,NA
GPT-5 mini,Solo Models,Advisor,All,F1,20,0.645,0.008,0.002,0.004,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,NA,NA,OpenAI,NA,NA
GPT-5 nano,Solo Models,Advisor,All,F1,10,0.56,0.011,0.004,0.007,NO,AllCases,Unanimous,AllHarm,GPT-5 nano,NA,NA,OpenAI,NA,NA
Gemini 2.0 Flash,Solo Models,Advisor,All,F1,10,0.531,0.005,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,NA,NA,Google,NA,NA
Gemini 2.5 Flash,Solo Models,Advisor,All,F1,20,0.566,0.018,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,NA,NA,Google,NA,NA
Gemini 2.5 Pro,Solo Models,Advisor,All,F1,20,0.627,0.012,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,NA,NA,Google,NA,NA
Gemini 3 Pro,Solo Models,Advisor,All,F1,20,0.649,0.007,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Gemini 3 Pro,NA,NA,Google,NA,NA
Glass Health 4.0,Solo Models,Advisor,All,F1,13,0.662,0.007,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Glass Health 4.0,NA,NA,Glass Health,NA,NA
Grok 4,Solo Models,Advisor,All,F1,15,0.612,0.01,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Grok 4,NA,NA,xAI,NA,NA
Grok 4 Fast,Solo Models,Advisor,All,F1,15,0.596,0.01,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Grok 4 Fast,NA,NA,xAI,NA,NA
Kimi K2,Solo Models,Advisor,All,F1,15,0.545,0.011,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Kimi K2,NA,NA,Moonshot AI,NA,NA
LiSA 1.0,Solo Models,Advisor,All,F1,20,0.623,0.009,0.002,0.004,NO,AllCases,Unanimous,AllHarm,LiSA 1.0,NA,NA,AMBOSS,NA,NA
Llama 3.3 70b,Solo Models,Advisor,All,F1,10,0.5,0.008,0.002,0.005,NO,AllCases,Unanimous,AllHarm,Llama 3.3 70b,NA,NA,Meta,NA,NA
Llama 4 Maverick,Solo Models,Advisor,All,F1,20,0.544,0.006,0.001,0.003,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,NA,NA,Meta,NA,NA
Llama 4 Scout,Solo Models,Advisor,All,F1,20,0.479,0.004,0.001,0.002,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,NA,NA,Meta,NA,NA
Mistral Large 2.1,Solo Models,Advisor,All,F1,15,0.578,0.01,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Mistral Large 2.1,NA,NA,Mistral AI,NA,NA
Mistral Medium 3.1,Solo Models,Advisor,All,F1,15,0.551,0.006,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Mistral Medium 3.1,NA,NA,Mistral AI,NA,NA
Qwen3 235B,Solo Models,Advisor,All,F1,5,0.527,0.008,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Qwen3 235B,NA,NA,Alibaba,NA,NA
Qwen3 32B,Solo Models,Advisor,All,F1,13,0.503,0.012,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Qwen3 32B,NA,NA,Alibaba,NA,NA
o1,Solo Models,Advisor,All,F1,10,0.625,0.007,0.002,0.004,NO,AllCases,Unanimous,AllHarm,o1,NA,NA,OpenAI,NA,NA
o1 mini,Solo Models,Advisor,All,F1,10,0.485,0.01,0.003,0.006,NO,AllCases,Unanimous,AllHarm,o1 mini,NA,NA,OpenAI,NA,NA
o3 mini,Solo Models,Advisor,All,F1,20,0.571,0.013,0.003,0.006,NO,AllCases,Unanimous,AllHarm,o3 mini,NA,NA,OpenAI,NA,NA
o4 mini,Solo Models,Advisor,All,F1,10,0.584,0.008,0.003,0.005,NO,AllCases,Unanimous,AllHarm,o4 mini,NA,NA,OpenAI,NA,NA
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.59,0.004,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Claude 3.7 Sonnet,NA,Anthropic + Anthropic,NA,NA
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.571,0.022,0.013,0.025,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,DeepSeek R1,NA,Anthropic + DeepSeek,NA,NA
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.458,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-4.1,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.579,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.591,0.016,0.009,0.018,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5 mini,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.588,0.019,0.011,0.021,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.0 Flash,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.582,0.003,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.576,0.013,0.008,0.015,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Maverick,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.573,0.012,0.007,0.013,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Scout,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.568,0.015,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,o3 mini,NA,Anthropic + OpenAI,NA,NA
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,OverallScore,5,0.586,0.008,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,OverallScore,10,0.61,0.014,0.005,0.009,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,LiSA 1.0,NA,Anthropic + AMBOSS,NA,NA
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,OverallScore,5,0.603,0.015,0.007,0.014,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Claude 3.7 Sonnet,NA,DeepSeek + Anthropic,NA,NA
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,OverallScore,8,0.567,0.019,0.007,0.013,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,NA,DeepSeek + DeepSeek,NA,NA
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.602,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,GPT-5 mini,NA,DeepSeek + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,OverallScore,8,0.591,0.014,0.005,0.01,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,OverallScore,10,0.597,0.013,0.004,0.008,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,OverallScore,10,0.589,0.012,0.004,0.008,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Pro,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,OverallScore,10,0.628,0.014,0.005,0.009,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,LiSA 1.0,NA,DeepSeek + AMBOSS,NA,NA
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,OverallScore,10,0.579,0.016,0.005,0.01,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Llama 4 Maverick,NA,DeepSeek + Meta,NA,NA
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,All,OverallScore,10,0.577,0.018,0.006,0.011,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,o3 mini,NA,DeepSeek + OpenAI,NA,NA
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.586,0.019,0.011,0.021,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Claude 3.7 Sonnet,NA,OpenAI + Anthropic,NA,NA
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.43,0.011,0.006,0.012,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,All,OverallScore,3,0.584,0.019,0.011,0.022,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5,NA,OpenAI + OpenAI,NA,NA
